【  卫视频道  】,#genre#
上海卫视,http://223.82.161.157:8822/hls/37/index.m3u8
东南卫视,http://223.82.161.157:8822/hls/33/index.m3u8
云南卫视,http://223.82.161.157:8822/hls/48/index.m3u8
兵团卫视,http://223.82.161.157:8822/hls/61/index.m3u8
内蒙古卫视,http://223.82.161.157:8822/hls/57/index.m3u8
农林卫视,http://223.82.161.157:8822/hls/40/index.m3u8
凤凰卫视,http://110.72.79.92:808/hls/62/index.m3u8
北京卫视,http://223.82.161.157:8822/hls/35/index.m3u8
南方卫视,http://110.72.79.92:808/hls/81/index.m3u8
南方卫视,http://223.82.161.157:8822/hls/54/index.m3u8
吉林卫视,http://223.82.161.157:8822/hls/59/index.m3u8
四川卫视,http://223.82.161.157:8822/hls/43/index.m3u8
四川卫视,http://110.72.79.92:808/hls/44/index.m3u8
天津卫视,http://223.82.161.157:8822/hls/45/index.m3u8
宁夏卫视,http://223.82.161.157:8822/hls/76/index.m3u8
安徽卫视,http://223.82.161.157:8822/hls/32/index.m3u8
山东卫视,http://223.82.161.157:8822/hls/38/index.m3u8
山东卫视,http://110.72.79.92:808/hls/35/index.m3u8
山西卫视,http://223.82.161.157:8822/hls/58/index.m3u8
山西卫视,http://110.72.79.92:808/hls/42/index.m3u8
广东卫视,http://223.82.161.157:8822/hls/47/index.m3u8
广西卫视,http://223.82.161.157:8822/hls/46/index.m3u8
新疆卫视,http://223.82.161.157:8822/hls/62/index.m3u8
旅游卫视,http://223.82.161.157:8822/hls/52/index.m3u8
星空卫视,http://110.72.79.92:808/hls/60/index.m3u8
江苏卫视,http://223.82.161.157:8822/hls/30/index.m3u8
江苏卫视,http://110.72.79.92:808/hls/30/index.m3u8
江西卫视,http://223.82.161.157:8822/hls/19/index.m3u8
河北卫视,http://223.82.161.157:8822/hls/42/index.m3u8
河南卫视,http://110.72.79.92:808/hls/49/index.m3u8
浙江卫视,http://223.82.161.157:8822/hls/41/index.m3u8
浙江卫视,http://110.72.79.92:808/hls/34/index.m3u8
深圳卫视,http://223.82.161.157:8822/hls/49/index.m3u8
深圳卫视,http://110.72.79.92:808/hls/1033/index.m3u8
湖北卫视,http://223.82.161.157:8822/hls/44/index.m3u8
湖南卫视,http://223.82.161.157:8822/hls/28/index.m3u8
甘肃卫视,http://223.82.161.157:8822/hls/79/index.m3u8
西藏卫视,http://223.82.161.157:8822/hls/60/index.m3u8
贵州卫视,http://223.82.161.157:8822/hls/63/index.m3u8
辽宁卫视,http://223.82.161.157:8822/hls/55/index.m3u8
辽宁卫视,http://110.72.79.92:808/hls/2/index.m3u8
重庆卫视,http://223.82.161.157:8822/hls/83/index.m3u8
重庆卫视,http://110.72.79.92:808/hls/33/index.m3u8
陕西卫视,http://223.82.161.157:8822/hls/39/index.m3u8
陕西卫视,http://110.72.79.92:808/hls/17/index.m3u8
青海卫视,http://223.82.161.157:8822/hls/75/index.m3u8
黑龙江卫视,http://223.82.161.157:8822/hls/56/index.m3u8
黑龙江卫视,http://110.72.79.92:808/hls/43/index.m3u8
