失效连接,#genre#
6_联通秒开,http://182.117.77.177:808/hls/12/index.m3u8
6_CCTV1_联通,http://182.117.77.177:808/hls/1/index.m3u8
9_港台秒开,http://61.158.166.42:1301/haiou.php?key=haiou&id=jade_twn&l=.m3u8
CCTV-1,http://111.59.63.32:9901/tsfile/live/1008_1.m3u8
2_CCTV11_电信,http://180.143.83.235:8181/tsfile/live/0011_1.m3u8
动作电影,http://119.54.0.212:9999/hls/90/index.m3u8
4_CCTV9_联通,http://123.10.79.116:808/hls/9/index.m3u8
汕头综合_电信,http://113.71.149.149:5555/udp/239.253.43.45:5146
++_央卫秒开,http://175.9.162.245:9999/udp/239.76.253.151:9000
汕头文旅体育_联通,http://113.65.7.195:8888/udp/239.253.43.47:5146
有效连接,#genre#
CCTV1-综合_移动,http://39.164.160.249:9901/tsfile/live/0001_1.m3u8
汕头经济生活_电信,http://119.23.60.89:8460/udp/239.253.43.46:5146
汕头文旅体育_电信,http://119.23.60.89:8460/udp/239.253.43.47:5146
CCTV1_其他,http://1.70.32.95:8085/udp/239.1.1.7:8007
5_广东卫视_电信,http://219.137.29.213:4433/tsfile/live/0125_1.m3u8
3_CCTV6_电信,http://171.8.245.48:808/hls/6/index.m3u8
CCTV1_电信,http://222.218.158.222:8181/tsfile/live/0001_1.m3u8
0_央卫秒开,http://119.125.134.182:9901/tsfile/live/1129_1.m3u8
汕头综合_联通,http://119.23.60.89:8460/udp/239.77.1.130:5146
20_CCTV1_电信,http://36.99.132.88:808/hls/1/index.m3u8
测试完成时间,2024-04-04 18:09:48
